Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Aneethun Blond Kit Matizante Shampoo, Máscara + Finalizador ;19;182.0;3458.0;345.8;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Aneethun Cera Texturizadora Style Profissional Forte 2 Seco ;49;68.9;3376.1;844.02;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Kera Recondicionador E Tratamento Reestruturante ;3;213.8;641.4;641.4;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Kit Age System Plastica Capilar Aneethun Cliente 1 ;7;139.99;979.93;326.64;https://perfil.mercadolivre.com.br/CIABELEZA+DISBEL;Presidente Prudente, São Paulo.
 Aneethun Queen Geleia Real Recontrutor Capilar N2 480ml Quer ;170;123.0;20910.0;5227.5;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Antiqueda Kit ;7;239.65;1677.55;419.39;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Aneethun Blond System - Shampoo + Máscara - Black Friday ;25;119.95;2998.75;428.39;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Máscara Matizante Blond System Aneethun 250 Ml ;7;54.25;379.75;189.88;https://perfil.mercadolivre.com.br/BB+COSMETICOS;São Paulo, São Paulo.
 Kit Age System Plástica Capilar Aneethun ;50;398.0;19900.0;3316.67;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Máscara Hidratante Kinoa 1k ;45;119.99;5399.55;1799.85;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
 Kit Shampoo + Mascara Linha A Hidratação Imediata Aneethun ;8;115.73;925.84;925.84;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Kit Aneethun Linha A Sh.1l Creme De Silicone 1l E Másc.1kg ;155;380.0;58900.0;14725.0;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Liss System - Shampoo 1l + Mascara 1l ;2;255.99;511.98;64.0;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Kit Aneethun Aminoplex Shampoo 300 Ml E Mascara 200 Ml ;9;125.0;1125.0;102.27;https://perfil.mercadolivre.com.br/MAGAZINELZSP;Assis, São Paulo.
 Kit Aneethun Blond Shampoo 300ml E Masc. 250gr Desamarelador ;119;119.9;14268.1;3567.03;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Linha A Kit Shampoo 300ml E Creme 250ml ;76;105.0;7980.0;798.0;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Kit Aneethun Liss Shampoo & Condicionador ;16;86.0;1376.0;196.57;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Kit Aneethun Anti Queda - Lançamento!! Pura Mania ;17;209.9;3568.3;713.66;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Creme De Silicone Com Tutano E Queratina 250ml Aneethun ;12;50.0;600.0;60.0;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Pomada Aneethum Pasta Sculp (combo Com 2) ;71;140.0;9940.0;994.0;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
